id,player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id
896,171,Rudy,Gay,F,6.0,8.0,80.0,,,,,,,,10
897,172,Paul,George,F,6.0,8.0,80.0,,,,,,,,23
898,173,Taj,Gibson,F,6.0,9.0,81.0,,,,,,,,4
899,174,Harry,Giles III,F-C,6.0,10.0,82.0,,,,,,,,26
900,175,Shai,Gilgeous-Alexander,G,6.0,6.0,78.0,,,,,,,,21
901,176,Rudy,Gobert,C,7.0,1.0,85.0,,,,,,,,18
902,177,Aaron,Gordon,F,6.0,8.0,80.0,,,,,,,,8
903,178,Eric,Gordon,G,6.0,3.0,75.0,,,,,,,,23
904,179,Marcin,Gortat,C,6.0,11.0,83.0,,,,,,,,30
905,180,Devonte',Graham,G,6.0,1.0,73.0,,,,,,,,25
906,181,Treveon,Graham,F,6.0,5.0,77.0,,,,,,,,4
907,182,Jerami,Grant,F,6.0,7.0,79.0,,,,,,,,25
908,183,Jerian,Grant,G,6.0,4.0,76.0,,,,,,,,5
909,184,Danny,Green,G-F,6.0,6.0,78.0,,,,,,,,23
910,185,Draymond,Green,F,6.0,6.0,78.0,,,,,,,,10
915,190,Daniel,Hamilton,G-F,6.0,7.0,79.0,,,,,,,,1
916,191,Tim,Hardaway Jr.,G,6.0,5.0,77.0,,,,,,,,9
917,192,James,Harden,G,6.0,5.0,77.0,,,,,,,,13
918,193,Maurice,Harkless,F,6.0,7.0,79.0,,,,,,,,26
922,197,Joe,Harris,F-G,6.0,6.0,78.0,,,,,,,,9
923,198,Andrew,Harrison,G,6.0,6.0,78.0,,,,,,,,15
924,199,Shaquille,Harrison,G,6.0,4.0,76.0,,,,,,,,15
925,200,Tobias,Harris,F,6.0,8.0,80.0,,,,,,,,9
926,201,Isaiah,Hartenstein,F-C,7.0,0.0,84.0,,,,,,,,21
927,202,Josh,Hart,G,6.0,4.0,76.0,,,,,,,,20
726,1,Alex,Abrines,G,6.0,6.0,78.0,,,,,,,,21
728,3,Steven,Adams,C,6.0,11.0,83.0,,,,,,,,11
748,23,Dwayne,Bacon,G-F,6.0,6.0,78.0,,,,,,,,14
770,45,Patrick,Beverley,G,6.0,2.0,74.0,,,,,,,,17
793,68,Troy,Brown Jr.,F,6.0,7.0,79.0,,,,,,,,9
816,91,Willie,Cauley-Stein,C,7.0,0.0,84.0,,,,,,,,23
819,94,Tyson,Chandler,C,7.0,0.0,84.0,,,,,,,,20
820,95,Wilson,Chandler,F,6.0,8.0,80.0,,,,,,,,8
842,117,Anthony,Davis,F-C,6.0,10.0,82.0,,,,,,,,7
867,142,Vincent,Edwards,F,6.0,8.0,80.0,,,,,,,,11
889,164,Channing,Frye,F-C,7.0,0.0,84.0,,,,,,,,24
911,186,Gerald,Green,G-F,6.0,7.0,79.0,,,,,,,,2
912,187,JaMychal,Green,F,6.0,9.0,81.0,,,,,,,,10
913,188,Jeff,Green,F,6.0,8.0,80.0,,,,,,,,11
