team_id,team_name,season,games_played,wins,points_scored_total,points_allowed_total,point_diff_total,point_diff_avg,home_games,home_wins,losses,win_pct,points_per_game,points_allowed_per_game,away_games,away_wins,home_win_pct,away_win_pct
1,Atlanta Hawks,2020-2021,87,50,9774,9605,169,1.9425287356321839,44,29,37,0.5747126436781609,112.34482758620689,110.40229885057471,43,21,0.6590909090909091,0.4883720930232558
1,Atlanta Hawks,2021-2022,82,41,9145,9128,17,0.2073170731707317,38,24,41,0.5,111.52439024390245,111.3170731707317,44,17,0.631578947368421,0.38636363636363635
1,Atlanta Hawks,2022-2023,81,40,9546,9548,-2,-0.024691358024691357,38,21,41,0.49382716049382713,117.85185185185185,117.87654320987654,43,19,0.5526315789473685,0.4418604651162791
1,Atlanta Hawks,2023-2024,32,13,3887,3949,-62,-1.9375,12,5,19,0.40625,121.46875,123.40625,20,8,0.4166666666666667,0.4
1,Atlanta Hawks,2024-2025,73,37,8521,8613,-92,-1.2602739726027397,37,20,36,0.5068493150684932,116.72602739726027,117.98630136986301,36,17,0.5405405405405406,0.4722222222222222
2,Boston Celtics,2020-2021,72,33,8079,8073,6,0.08333333333333333,37,21,39,0.4583333333333333,112.20833333333333,112.125,35,12,0.5675675675675675,0.34285714285714286
2,Boston Celtics,2021-2022,103,64,11368,10692,676,6.563106796116505,51,33,39,0.6213592233009708,110.36893203883496,103.80582524271844,52,31,0.6470588235294118,0.5961538461538461
2,Boston Celtics,2022-2023,97,64,11322,10743,579,5.969072164948454,49,35,33,0.6597938144329897,116.72164948453609,110.75257731958763,48,29,0.7142857142857143,0.6041666666666666
2,Boston Celtics,2023-2024,36,27,4339,4033,306,8.5,16,16,9,0.75,120.52777777777777,112.02777777777777,20,11,1.0,0.55
2,Boston Celtics,2024-2025,74,55,8536,7812,724,9.783783783783784,36,24,19,0.7432432432432432,115.35135135135135,105.56756756756756,38,31,0.6666666666666666,0.8157894736842105
3,Brooklyn Nets,2020-2021,79,51,9304,8928,376,4.7594936708860756,38,29,28,0.6455696202531646,117.77215189873418,113.0126582278481,41,22,0.7631578947368421,0.5365853658536586
3,Brooklyn Nets,2021-2022,79,41,8935,8869,66,0.8354430379746836,40,19,38,0.5189873417721519,113.10126582278481,112.26582278481013,39,22,0.475,0.5641025641025641
3,Brooklyn Nets,2022-2023,81,42,9111,9078,33,0.4074074074074074,41,22,39,0.5185185185185185,112.48148148148148,112.07407407407408,40,20,0.5365853658536586,0.5
3,Brooklyn Nets,2023-2024,38,16,4354,4424,-70,-1.8421052631578947,19,10,22,0.42105263157894735,114.57894736842105,116.42105263157895,19,6,0.5263157894736842,0.3157894736842105
3,Brooklyn Nets,2024-2025,74,22,7696,8247,-551,-7.445945945945946,38,12,52,0.2972972972972973,104.0,111.44594594594595,36,10,0.3157894736842105,0.2777777777777778
4,Charlotte Hornets,2020-2021,66,31,7246,7358,-112,-1.696969696969697,34,16,35,0.4696969696969697,109.78787878787878,111.48484848484848,32,15,0.47058823529411764,0.46875
4,Charlotte Hornets,2021-2022,76,39,8692,8711,-19,-0.25,40,22,37,0.5131578947368421,114.36842105263158,114.61842105263158,36,17,0.55,0.4722222222222222
4,Charlotte Hornets,2022-2023,79,26,8769,9269,-500,-6.329113924050633,39,13,53,0.3291139240506329,111.0,117.32911392405063,40,13,0.3333333333333333,0.325
4,Charlotte Hornets,2023-2024,30,7,3300,3624,-324,-10.8,16,4,23,0.23333333333333334,110.0,120.8,14,3,0.25,0.21428571428571427
