team_id,team_name,season,games_played,wins,points_scored_total,points_allowed_total,point_diff_total,point_diff_avg,home_games,home_wins,losses,win_pct,points_per_game,points_allowed_per_game,away_games,away_wins,home_win_pct,away_win_pct,offensive_rating,defensive_rating,net_rating,win_pct_rank,offensive_rank,defensive_rank,point_diff_rank,win_pct_z,points_per_game_z,points_allowed_per_game_z,point_diff_avg_z
1,Atlanta Hawks,2020-2021,87,50,9774,9605,169,1.9425287356321839,44,29,37,0.5747126436781609,112.34482758620689,110.40229885057471,43,21,0.6590909090909091,0.4883720930232558,112.34482758620689,110.40229885057471,1.9425287356321803,8.0,16.0,9.0,9.0,0.673224195219132,0.1253336167329623,-0.5274905440478124,0.4948599172090597
1,Atlanta Hawks,2021-2022,82,41,9145,9128,17,0.2073170731707317,38,24,41,0.5,111.52439024390245,111.3170731707317,44,17,0.631578947368421,0.38636363636363635,111.52439024390246,111.3170731707317,0.20731707317075632,18.0,10.0,17.0,17.0,0.06615496529512499,0.4811087231432729,0.2625291103438524,0.11118467809398234
1,Atlanta Hawks,2022-2023,81,40,9546,9548,-2,-0.024691358024691357,38,21,41,0.49382716049382713,117.85185185185185,117.87654320987654,43,19,0.5526315789473685,0.4418604651162791,117.85185185185185,117.87654320987654,-0.024691358024696797,17.0,3.0,23.0,18.0,0.005917150172810462,1.3714615079636474,0.9268566799492968,0.044364669927968954
1,Atlanta Hawks,2023-2024,32,13,3887,3949,-62,-1.9375,12,5,19,0.40625,121.46875,123.40625,20,8,0.4166666666666667,0.4,121.46875,123.40625,-1.9375,23.0,4.0,29.0,23.0,-0.530934099628773,1.366919610307976,1.6873333569973976,-0.32281011101638774
1,Atlanta Hawks,2024-2025,73,37,8521,8613,-92,-1.2602739726027397,37,20,36,0.5068493150684932,116.72602739726027,117.98630136986301,36,17,0.5405405405405406,0.4722222222222222,116.72602739726025,117.98630136986301,-1.2602739726027608,15.0,5.0,28.0,19.0,0.10176485628371494,1.0845682007989308,1.4874850018019328,-0.21352502700769704
2,Boston Celtics,2020-2021,72,33,8079,8073,6,0.08333333333333333,37,21,39,0.4583333333333333,112.20833333333333,112.125,35,12,0.5675675675675675,0.34285714285714286,112.20833333333331,112.125,0.08333333333331439,19.5,17.0,18.0,16.0,-0.2592709393438521,0.08985592939354811,-0.012291695976345256,0.08522462084554214
2,Boston Celtics,2021-2022,103,64,11368,10692,676,6.563106796116505,51,33,39,0.6213592233009708,110.36893203883496,103.80582524271844,52,31,0.6470588235294118,0.5961538461538461,110.36893203883496,103.80582524271844,6.563106796116514,5.0,14.0,1.0,1.0,0.9465959125328045,0.12074981145586926,-1.6851920625111163,1.443997706123042
2,Boston Celtics,2022-2023,97,64,11322,10743,579,5.969072164948454,49,35,33,0.6597938144329897,116.72164948453609,110.75257731958763,48,29,0.7142857142857143,0.6041666666666666,116.72164948453609,110.75257731958763,5.969072164948457,4.0,7.0,4.0,1.0,1.4404613120487852,0.9391527736457221,-1.00605324802994,1.6138209250485027
2,Boston Celtics,2023-2024,36,27,4339,4033,306,8.5,16,16,9,0.75,120.52777777777777,112.02777777777777,20,11,1.0,0.55,120.52777777777777,112.02777777777777,8.5,1.0,5.0,11.0,1.0,1.4600085713680069,1.152152179341176,-0.7544174219398443,1.4751687028671612
2,Boston Celtics,2024-2025,74,55,8536,7812,724,9.783783783783784,36,24,19,0.7432432432432432,115.35135135135135,105.56756756756756,38,31,0.6666666666666666,0.8157894736842105,115.35135135135135,105.56756756756756,9.78378378378379,3.0,7.0,3.0,2.0,1.5719950802781266,0.783298671044411,-1.4915264880236692,1.6698288157787649
