team_id,season,win_pct,points_per_game,points_allowed_per_game,point_diff_avg,wins_rank,offense_rank,defense_rank,diff_rank,overall_rank
1,2020-2021,0.5747126436781609,112.34482758620689,110.40229885057471,1.9425287356321839,8.0,16.0,9.0,9.0,8.0
1,2021-2022,0.5,111.52439024390245,111.3170731707317,0.2073170731707317,18.0,10.0,17.0,17.0,16.0
1,2022-2023,0.49382716049382713,117.85185185185185,117.87654320987654,-0.024691358024691357,17.0,3.0,23.0,18.0,16.0
1,2023-2024,0.40625,121.46875,123.40625,-1.9375,23.0,4.0,29.0,23.0,22.0
1,2024-2025,0.5068493150684932,116.72602739726027,117.98630136986301,-1.2602739726027397,15.0,5.0,28.0,19.0,17.0
2,2020-2021,0.4583333333333333,112.20833333333333,112.125,0.08333333333333333,19.0,17.0,18.0,16.0,17.0
2,2021-2022,0.6213592233009708,110.36893203883496,103.80582524271844,6.563106796116505,5.0,14.0,1.0,1.0,3.0
2,2022-2023,0.6597938144329897,116.72164948453609,110.75257731958763,5.969072164948454,4.0,7.0,4.0,1.0,1.0
2,2023-2024,0.75,120.52777777777777,112.02777777777777,8.5,1.0,5.0,11.0,1.0,1.0
2,2024-2025,0.7432432432432432,115.35135135135135,105.56756756756756,9.783783783783784,3.0,7.0,3.0,2.0,2.0
3,2020-2021,0.6455696202531646,117.77215189873418,113.0126582278481,4.7594936708860756,4.0,1.0,21.0,5.0,6.0
3,2021-2022,0.5189873417721519,113.10126582278481,112.26582278481013,0.8354430379746836,16.0,6.0,21.0,15.0,15.0
3,2022-2023,0.5185185185185185,112.48148148148148,112.07407407407408,0.4074074074074074,14.0,23.0,10.0,16.0,18.0
3,2023-2024,0.42105263157894735,114.57894736842105,116.42105263157895,-1.8421052631578947,22.0,18.0,18.0,22.0,23.0
3,2024-2025,0.2972972972972973,104.0,111.44594594594595,-7.445945945945946,25.0,29.0,14.0,26.0,25.0
4,2020-2021,0.4696969696969697,109.78787878787878,111.48484848484848,-1.696969696969697,17.0,22.0,12.0,22.0,20.0
4,2021-2022,0.5131578947368421,114.36842105263158,114.61842105263158,-0.25,17.0,3.0,26.0,19.0,17.0
4,2022-2023,0.3291139240506329,111.0,117.32911392405063,-6.329113924050633,27.0,25.0,22.0,27.0,27.0
4,2023-2024,0.23333333333333334,110.0,120.8,-10.8,27.0,28.0,25.0,28.0,28.0
4,2024-2025,0.23684210526315788,104.39473684210526,112.98684210526316,-8.592105263157896,28.0,28.0,19.0,27.0,27.0
5,2020-2021,0.42424242424242425,110.78787878787878,111.74242424242425,-0.9545454545454546,23.0,21.0,13.0,20.0,22.0
5,2021-2022,0.5316455696202531,110.89873417721519,111.9113924050633,-1.0126582278481013,15.0,12.0,19.0,21.0,19.0
5,2022-2023,0.4936708860759494,112.21518987341773,111.0379746835443,1.1772151898734178,18.0,24.0,6.0,13.0,16.0
5,2023-2024,0.47368421052631576,110.07894736842105,111.39473684210526,-1.3157894736842106,20.0,27.0,5.0,21.0,19.0
5,2024-2025,0.4675324675324675,116.36363636363636,118.44155844155844,-2.0779220779220777,17.0,6.0,29.0,20.0,19.0
6,2020-2021,0.3188405797101449,103.95652173913044,111.92753623188406,-7.971014492753623,26.0,29.0,14.0,28.0,27.0
6,2021-2022,0.5333333333333333,106.94666666666667,104.90666666666667,2.04,14.0,25.0,4.0,11.0,12.0
6,2022-2023,0.5925925925925926,110.8641975308642,106.34567901234568,4.518518518518518,6.0,28.0,1.0,2.0,6.0
6,2023-2024,0.5945945945945946,113.1891891891892,111.27027027027027,1.9189189189189189,9.0,22.0,4.0,12.0,9.0
6,2024-2025,0.7625,119.0,109.5125,9.4875,2.0,3.0,10.0,3.0,3.0
7,2020-2021,0.56,112.10666666666667,110.29333333333334,1.8133333333333332,10.0,18.0,8.0,11.0,10.0
7,2021-2022,0.6086956521739131,107.09782608695652,104.6195652173913,2.4782608695652173,7.0,24.0,3.0,8.0,9.0
7,2022-2023,0.4666666666666667,113.8,113.88,-0.08,20.0,16.0,14.0,19.0,21.0
7,2023-2024,0.5555555555555556,117.69444444444444,117.47222222222223,0.2222222222222222,15.0,8.0,22.0,17.0,17.0
7,2024-2025,0.4666666666666667,112.88,113.41333333333333,-0.5333333333333333,18.0,14.0,22.0,16.0,18.0
8,2020-2021,0.6153846153846154,115.05128205128206,111.41025641025641,3.641025641025641,7.0,7.0,10.0,7.0,6.0
8,2021-2022,0.5875,112.3875,110.075,2.3125,9.0,9.0,13.0,9.0,8.0
8,2022-2023,0.6632653061224489,115.23469387755102,110.93877551020408,4.295918367346939,2.0,12.0,5.0,3.0,2.0
8,2023-2024,0.6285714285714286,115.42857142857143,111.2,4.228571428571429,8.0,13.0,3.0,8.0,6.0
8,2024-2025,0.6052631578947368,119.82894736842105,115.90789473684211,3.9210526315789473,7.0,2.0,25.0,9.0,9.0
9,2020-2021,0.2835820895522388,107.19402985074628,111.44776119402985,-4.253731343283582,29.0,26.0,11.0,25.0,25.0
9,2021-2022,0.2894736842105263,105.07894736842105,112.75,-7.671052631578948,28.0,28.0,23.0,27.0,28.0
9,2022-2023,0.22666666666666666,111.0,118.2,-7.2,30.0,25.0,26.0,28.0,28.0
9,2023-2024,0.08333333333333333,110.91666666666667,122.58333333333333,-11.666666666666666,30.0,26.0,27.0,30.0,30.0
9,2024-2025,0.5333333333333333,113.98666666666666,112.17333333333333,1.8133333333333332,14.0,9.0,16.0,13.0,13.0
10,2020-2021,0.5416666666666666,113.81944444444444,112.65277777777777,1.1666666666666667,12.0,10.0,20.0,13.0,12.0
