game_id,date,datetime,season,status,period,time,postseason,home_team_score,visitor_team_score,home_team_id,home_team_conference,home_team_name,visitor_team_id,visitor_team_conference,visitor_team_name,point_diff,total_points,home_team_won,day_of_week,month,year,hour
474419,2022-03-12,,2021-2022,Final,4,,False,127,118,25,West,Portland Trail Blazers,30,East,Washington Wizards,9,245,1,Saturday,March,2022,
474435,2022-03-14,,2021-2022,Final,4,Final,False,126,112,10,West,Golden State Warriors,30,East,Washington Wizards,14,238,1,Monday,March,2022,
474450,2022-03-16,,2021-2022,Final,4,,False,88,110,10,West,Golden State Warriors,2,East,Boston Celtics,-22,198,0,Wednesday,March,2022,
474478,2022-03-20,,2021-2022,Final,4,,False,108,110,10,West,Golden State Warriors,27,West,San Antonio Spurs,-2,218,0,Sunday,March,2022,
474495,2022-03-23,,2021-2022,Final,4,,False,125,97,2,East,Boston Celtics,29,West,Utah Jazz,28,222,1,Wednesday,March,2022,
474527,2022-03-27,,2021-2022,Final,4,,False,134,112,2,East,Boston Celtics,18,West,Minnesota Timberwolves,22,246,1,Sunday,March,2022,
474535,2022-03-28,,2021-2022,Final,4,,False,123,100,16,East,Miami Heat,26,West,Sacramento Kings,23,223,1,Monday,March,2022,
474556,2022-03-31,,2021-2022,Final,4,,False,102,94,9,East,Detroit Pistons,23,East,Philadelphia 76ers,8,196,1,Thursday,March,2022,
474576,2022-04-03,,2021-2022,Final,4,,False,88,118,22,East,Orlando Magic,20,East,New York Knicks,-30,206,0,Sunday,April,2022,
474604,2022-04-07,,2021-2022,Final,4,,False,127,94,19,West,New Orleans Pelicans,25,West,Portland Trail Blazers,33,221,1,Thursday,April,2022,
474623,2022-04-09,,2021-2022,Final,4,,False,117,98,13,West,LA Clippers,26,West,Sacramento Kings,19,215,1,Saturday,April,2022,
832817,2022-04-17,,2021-2022,Final,4,,True,115,114,2,East,Boston Celtics,3,East,Brooklyn Nets,1,229,1,Sunday,April,2022,
840593,2022-04-25,,2021-2022,Final,4,,True,88,103,23,East,Philadelphia 76ers,28,East,Toronto Raptors,-15,191,0,Monday,April,2022,
852139,2022-05-17,,2021-2022,Final,4,,True,118,107,16,East,Miami Heat,2,East,Boston Celtics,11,225,1,Tuesday,May,2022,
857386,2022-10-22,,2022-2023,Final,4,Final,False,124,115,12,East,Indiana Pacers,9,East,Detroit Pistons,9,239,1,Saturday,October,2022,
857396,2022-10-23,,2022-2023,Final,4,Final,False,106,116,21,West,Oklahoma City Thunder,18,West,Minnesota Timberwolves,-10,222,0,Sunday,October,2022,
857402,2022-10-24,,2022-2023,Final,4,Final,False,120,102,5,East,Chicago Bulls,2,East,Boston Celtics,18,222,1,Monday,October,2022,
857414,2022-10-26,,2022-2023,Final,5,Final,False,134,131,20,East,New York Knicks,4,East,Charlotte Hornets,3,265,1,Wednesday,October,2022,
857423,2022-10-27,,2022-2023,Final,4,Final,False,118,110,21,West,Oklahoma City Thunder,13,West,LA Clippers,8,228,1,Thursday,October,2022,
857434,2022-10-28,,2022-2023,Final,4,Final,False,125,111,25,West,Portland Trail Blazers,11,West,Houston Rockets,14,236,1,Friday,October,2022,
857437,2022-10-29,,2022-2023,Final,5,Final,False,120,113,4,East,Charlotte Hornets,10,West,Golden State Warriors,7,233,1,Saturday,October,2022,
857445,2022-10-30,,2022-2023,Final,4,Final,False,121,108,6,East,Cleveland Cavaliers,20,East,New York Knicks,13,229,1,Sunday,October,2022,
857456,2022-10-31,,2022-2023,Final,4,Final,False,121,105,29,West,Utah Jazz,15,West,Memphis Grizzlies,16,226,1,Monday,October,2022,
857462,2022-11-02,,2022-2023,Final,4,Final,False,106,111,25,West,Portland Trail Blazers,15,West,Memphis Grizzlies,-5,217,0,Wednesday,November,2022,
857470,2022-11-02,,2022-2023,Final,4,Final,False,99,112,20,East,New York Knicks,1,East,Atlanta Hawks,-13,211,0,Wednesday,November,2022,
857476,2022-11-04,,2022-2023,Final,4,Final,False,86,128,30,East,Washington Wizards,3,East,Brooklyn Nets,-42,214,0,Friday,November,2022,
857492,2022-11-05,,2022-2023,Final,5,Final,False,124,121,1,East,Atlanta Hawks,19,West,New Orleans Pelicans,3,245,1,Saturday,November,2022,
857495,2022-11-06,,2022-2023,Final,4,Final,False,113,104,28,East,Toronto Raptors,5,East,Chicago Bulls,9,217,1,Sunday,November,2022,
857498,2022-11-07,,2022-2023,Final,4,Final,False,111,97,5,East,Chicago Bulls,28,East,Toronto Raptors,14,208,1,Monday,November,2022,
857520,2022-11-09,,2022-2023,Final,4,Final,False,112,85,3,East,Brooklyn Nets,20,East,New York Knicks,27,197,1,Wednesday,November,2022,
857523,2022-11-09,,2022-2023,Final,5,Final,False,122,124,27,West,San Antonio Spurs,15,West,Memphis Grizzlies,-2,246,0,Wednesday,November,2022,
857536,2022-11-11,,2022-2023,Final,4,Final,False,121,112,20,East,New York Knicks,9,East,Detroit Pistons,9,233,1,Friday,November,2022,
857538,2022-11-12,,2022-2023,Final,4,Final,False,95,110,13,West,LA Clippers,3,East,Brooklyn Nets,-15,205,0,Saturday,November,2022,
857545,2022-11-12,,2022-2023,Final,4,Final,False,117,112,7,West,Dallas Mavericks,25,West,Portland Trail Blazers,5,229,1,Saturday,November,2022,
857549,2022-11-13,,2022-2023,Final,4,Final,False,124,129,6,East,Cleveland Cavaliers,18,West,Minnesota Timberwolves,-5,253,0,Sunday,November,2022,
857562,2022-11-15,,2022-2023,Final,4,Final,False,111,118,29,West,Utah Jazz,20,East,New York Knicks,-7,229,0,Tuesday,November,2022,
857573,2022-11-16,,2022-2023,Final,4,Final,False,92,101,7,West,Dallas Mavericks,11,West,Houston Rockets,-9,193,0,Wednesday,November,2022,
857581,2022-11-18,,2022-2023,Final,4,Final,False,107,108,5,East,Chicago Bulls,22,East,Orlando Magic,-1,215,0,Friday,November,2022,
857592,2022-11-19,,2022-2023,Final,4,Final,False,119,97,13,West,LA Clippers,27,West,San Antonio Spurs,22,216,1,Saturday,November,2022,
857596,2022-11-20,,2022-2023,Final,4,Final,False,97,98,7,West,Dallas Mavericks,8,West,Denver Nuggets,-1,195,0,Sunday,November,2022,
857603,2022-11-21,,2022-2023,Final,4,Final,False,114,102,6,East,Cleveland Cavaliers,1,East,Atlanta Hawks,12,216,1,Monday,November,2022,
857615,2022-11-23,,2022-2023,Final,4,Final,False,113,118,17,East,Milwaukee Bucks,5,East,Chicago Bulls,-5,231,0,Wednesday,November,2022,
857617,2022-11-23,,2022-2023,Final,4,Final,False,101,115,12,East,Indiana Pacers,18,West,Minnesota Timberwolves,-14,216,0,Wednesday,November,2022,
857635,2022-11-25,,2022-2023,Final,5,Final,False,123,119,21,West,Oklahoma City Thunder,5,East,Chicago Bulls,4,242,1,Friday,November,2022,
857639,2022-11-25,,2022-2023,Final,4,Final,False,104,114,13,West,LA Clippers,8,West,Denver Nuggets,-10,218,0,Friday,November,2022,
857647,2022-11-27,,2022-2023,Final,4,Final,False,123,127,20,East,New York Knicks,15,West,Memphis Grizzlies,-4,250,0,Sunday,November,2022,
857662,2022-11-28,,2022-2023,Final,4,Final,False,129,113,8,West,Denver Nuggets,11,West,Houston Rockets,16,242,1,Monday,November,2022,
857673,2022-11-30,,2022-2023,Final,4,Final,False,126,108,19,West,New Orleans Pelicans,28,East,Toronto Raptors,18,234,1,Wednesday,November,2022,
857670,2022-11-30,,2022-2023,Final,4,Final,False,103,109,20,East,New York Knicks,17,East,Milwaukee Bucks,-6,212,0,Wednesday,November,2022,
857681,2022-12-02,,2022-2023,Final,4,Final,False,117,109,1,East,Atlanta Hawks,8,West,Denver Nuggets,8,226,1,Friday,December,2022,
857692,2022-12-03,,2022-2023,Final,4,Final,False,111,116,29,West,Utah Jazz,25,West,Portland Trail Blazers,-5,227,0,Saturday,December,2022,
857703,2022-12-04,,2022-2023,Final,4,Final,False,112,122,9,East,Detroit Pistons,15,West,Memphis Grizzlies,-10,234,0,Sunday,December,2022,
857701,2022-12-04,,2022-2023,Final,4,Final,False,119,130,30,East,Washington Wizards,14,West,Los Angeles Lakers,-11,249,0,Sunday,December,2022,
857707,2022-12-05,,2022-2023,Final,4,Final,False,104,112,10,West,Golden State Warriors,12,East,Indiana Pacers,-8,216,0,Monday,December,2022,
857719,2022-12-07,,2022-2023,Final,4,Final,False,126,113,28,East,Toronto Raptors,14,West,Los Angeles Lakers,13,239,1,Wednesday,December,2022,
857728,2022-12-08,,2022-2023,Final,4,Final,False,115,110,16,East,Miami Heat,13,West,LA Clippers,5,225,1,Thursday,December,2022,
857741,2022-12-10,,2022-2023,Final,4,Final,False,111,115,16,East,Miami Heat,27,West,San Antonio Spurs,-4,226,0,Saturday,December,2022,
857752,2022-12-11,,2022-2023,Final,4,Final,False,111,99,22,East,Orlando Magic,28,East,Toronto Raptors,12,210,1,Sunday,December,2022,
857757,2022-12-12,,2022-2023,Final,4,Final,False,100,112,30,East,Washington Wizards,3,East,Brooklyn Nets,-12,212,0,Monday,December,2022,
857772,2022-12-14,,2022-2023,Final,4,Final,False,108,110,21,West,Oklahoma City Thunder,16,East,Miami Heat,-2,218,0,Wednesday,December,2022,
857786,2022-12-16,,2022-2023,Final,4,Final,False,109,117,2,East,Boston Celtics,22,East,Orlando Magic,-8,226,0,Friday,December,2022,
857784,2022-12-16,,2022-2023,Final,4,Final,False,106,125,4,East,Charlotte Hornets,1,East,Atlanta Hawks,-19,231,0,Friday,December,2022,
857792,2022-12-17,,2022-2023,Final,4,Final,False,101,111,27,West,San Antonio Spurs,16,East,Miami Heat,-10,212,0,Saturday,December,2022,
