player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_name,team_conference,team_division,full_name,position_standard
85,Wendell,Carter Jr.,F,6.0,10.0,82.0,,,,,,,,22,ORL,Orlando Magic,East,Southeast,Wendell Carter Jr.,F
86,Michael,Carter-Williams,G,6.0,5.0,77.0,,,,,,,,22,ORL,Orlando Magic,East,Southeast,Michael Carter-Williams,G
87,Jevon,Carter,G,6.0,1.0,73.0,,,,,,,,5,CHI,Chicago Bulls,East,Central,Jevon Carter,G
88,Vince,Carter,F-G,6.0,6.0,78.0,,,,,,,,28,TOR,Toronto Raptors,East,Atlantic,Vince Carter,G-F
89,Alex,Caruso,G,6.0,5.0,77.0,,,,,,,,21,OKC,Oklahoma City Thunder,West,Northwest,Alex Caruso,G
90,Omri,Casspi,F,6.0,9.0,81.0,,,,,,,,26,SAC,Sacramento Kings,West,Pacific,Omri Casspi,F
92,Troy,Caupain,G,6.0,4.0,76.0,,,,,,,,22,ORL,Orlando Magic,East,Southeast,Troy Caupain,G
93,Tyler,Cavanaugh,F,6.0,9.0,81.0,,,,,,,,1,ATL,Atlanta Hawks,East,Southeast,Tyler Cavanaugh,F
2,Jaylen,Adams,G,6.0,0.0,72.0,,,,,,,,1,ATL,Atlanta Hawks,East,Southeast,Jaylen Adams,G
96,Joe,Chealey,G,6.0,3.0,75.0,,,,,,,,4,CHA,Charlotte Hornets,East,Southeast,Joe Chealey,G
97,Marquese,Chriss,F,6.0,9.0,81.0,,,,,,,,7,DAL,Dallas Mavericks,West,Southwest,Marquese Chriss,F
98,Gary,Clark,F,6.0,6.0,78.0,,,,,,,,19,NOP,New Orleans Pelicans,West,Southwest,Gary Clark,F
99,Ian,Clark,G,6.0,3.0,75.0,,,,,,,,10,GSW,Golden State Warriors,West,Pacific,Ian Clark,G
