player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_name,team_conference,team_division,full_name,position_standard
430,DJ,Stephens,G-F,6.0,5.0,77.0,,,,,,,,17,MIL,Milwaukee Bucks,East,Central,DJ Stephens,G-F
431,Lance,Stephenson,G,6.0,5.0,77.0,,,,,,,,12,IND,Indiana Pacers,East,Central,Lance Stephenson,G
432,Edmond,Sumner,G,6.0,4.0,76.0,,,,,,,,4,CHA,Charlotte Hornets,East,Southeast,Edmond Sumner,G
433,Caleb,Swanigan,F,6.0,9.0,81.0,,,,,,,,25,POR,Portland Trail Blazers,West,Northwest,Caleb Swanigan,F
434,Jayson,Tatum,F,6.0,8.0,80.0,,,,,,,,2,BOS,Boston Celtics,East,Atlantic,Jayson Tatum,F
435,Jeff,Teague,G,6.0,3.0,75.0,,,,,,,,1,ATL,Atlanta Hawks,East,Southeast,Jeff Teague,G
436,Garrett,Temple,G-F,6.0,5.0,77.0,,,,,,,,28,TOR,Toronto Raptors,East,Atlantic,Garrett Temple,G-F
437,Milos,Teodosic,G,6.0,5.0,77.0,,,,,,,,13,LAC,LA Clippers,West,Pacific,Milos Teodosic,G
438,Jared,Terrell,G,6.0,3.0,75.0,,,,,,,,18,MIN,Minnesota Timberwolves,West,Northwest,Jared Terrell,G
439,Daniel,Theis,F,6.0,8.0,80.0,,,,,,,,19,NOP,New Orleans Pelicans,West,Southwest,Daniel Theis,F
440,Isaiah,Thomas,G,5.0,9.0,69.0,,,,,,,,24,PHX,Phoenix Suns,West,Pacific,Isaiah Thomas,G
441,Khyri,Thomas,G,6.0,3.0,75.0,,,,,,,,9,DET,Detroit Pistons,East,Central,Khyri Thomas,G
442,Lance,Thomas,F,6.0,8.0,80.0,,,,,,,,20,NYK,New York Knicks,East,Atlantic,Lance Thomas,F
443,Klay,Thompson,G,6.0,5.0,77.0,,,,,,,,7,DAL,Dallas Mavericks,West,Southwest,Klay Thompson,G
444,Tristan,Thompson,C-F,6.0,9.0,81.0,,,,,,,,6,CLE,Cleveland Cavaliers,East,Central,Tristan Thompson,F-C
445,Sindarius,Thornwell,G,6.0,4.0,76.0,,,,,,,,13,LAC,LA Clippers,West,Pacific,Sindarius Thornwell,G
446,Anthony,Tolliver,F,6.0,8.0,80.0,,,,,,,,9,DET,Detroit Pistons,East,Central,Anthony Tolliver,F
447,Karl-Anthony,Towns,C,7.0,0.0,84.0,,,,,,,,20,NYK,New York Knicks,East,Atlantic,Karl-Anthony Towns,C
448,Gary,Trent Jr.,G,,,,,,,,,,,25,POR,Portland Trail Blazers,West,Northwest,Gary Trent Jr.,G
449,Allonzo,Trier,G,6.0,5.0,77.0,,,,,,,,20,NYK,New York Knicks,East,Atlantic,Allonzo Trier,G
450,PJ,Tucker,F,6.0,5.0,77.0,,,,,,,,20,NYK,New York Knicks,East,Atlantic,PJ Tucker,F
451,Evan,Turner,G-F,6.0,6.0,78.0,,,,,,,,23,PHI,Philadelphia 76ers,East,Atlantic,Evan Turner,G-F
452,Myles,Turner,C-F,6.0,11.0,83.0,,,,,,,,12,IND,Indiana Pacers,East,Central,Myles Turner,F-C
453,Ekpe,Udoh,C-F,6.0,10.0,82.0,,,,,,,,17,MIL,Milwaukee Bucks,East,Central,Ekpe Udoh,F-C
454,Tyler,Ulis,G,5.0,10.0,70.0,,,,,,,,24,PHX,Phoenix Suns,West,Pacific,Tyler Ulis,G
455,Jonas,Valanciunas,C,6.0,11.0,83.0,,,,,,,,26,SAC,Sacramento Kings,West,Pacific,Jonas Valanciunas,C
456,Denzel,Valentine,G,6.0,4.0,76.0,,,,,,,,29,UTA,Utah Jazz,West,Northwest,Denzel Valentine,G
457,Jarred,Vanderbilt,F,6.0,8.0,80.0,,,,,,,,14,LAL,Los Angeles Lakers,West,Pacific,Jarred Vanderbilt,F
458,Fred,VanVleet,G,6.0,0.0,72.0,,,,,,,,11,HOU,Houston Rockets,West,Southwest,Fred VanVleet,G
459,Noah,Vonleh,F,6.0,10.0,82.0,,,,,,,,2,BOS,Boston Celtics,East,Atlantic,Noah Vonleh,F
460,Nikola,Vucevic,C,6.0,10.0,82.0,,,,,,,,5,CHI,Chicago Bulls,East,Central,Nikola Vucevic,C
